Run ID,5583,,,,,,,,,,,,,,,,,,,
Run Date/Time,20.21.2021 21:22,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,
Application Version,01.05.2007,,,,,,,,,,,,,,,,,,,
Protocol Name,Dummy.edr,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,A2,2.24E-05,M,Sample 1,Sample 1,150,150,8.62,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,B2,1.12E-05,M,Sample 1,Sample 1,75,75,8.545,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,C2,7.45E-06,M,Sample 1,Sample 1,50,50,8.495,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,D2,3.73E-06,M,Sample 1,Sample 1,25,25,8.47,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,E2,2.24E-06,M,Sample 1,Sample 1,15,15,8.455,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,F2,1.12E-06,M,Sample 1,Sample 1,7.5,7.5,8.447,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,G2,7.45E-07,M,Sample 1,Sample 1,5,5,8.442,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,H2,3.73E-07,M,Sample 1,Sample 1,2.5,2.5,8.44,74.51,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,I2,1.75E-07,M,Sample 1,Sample 1,75,75,22.462,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,J2,1.16E-07,M,Sample 1,Sample 1,50,50,22.412,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,K2,5.82E-08,M,Sample 1,Sample 1,25,25,22.387,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,L2,3.49E-08,M,Sample 1,Sample 1,15,15,22.372,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,M2,1.75E-08,M,Sample 1,Sample 1,7.5,7.5,22.364,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,N2,1.16E-08,M,Sample 1,Sample 1,5,5,22.359,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,O2,5.82E-09,M,Sample 1,Sample 1,2.5,2.5,22.357,99.701,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,A3,2.24E-05,M,Sample 2,Sample 2,150,150,8.62,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,B3,1.12E-05,M,Sample 2,Sample 2,75,75,8.545,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,C3,7.45E-06,M,Sample 2,Sample 2,50,50,8.495,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,D3,3.73E-06,M,Sample 2,Sample 2,25,25,8.47,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,E3,2.24E-06,M,Sample 2,Sample 2,15,15,8.455,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,F3,1.12E-06,M,Sample 2,Sample 2,7.5,7.5,8.447,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,G3,7.45E-07,M,Sample 2,Sample 2,5,5,8.442,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,H3,3.73E-07,M,Sample 2,Sample 2,2.5,2.5,8.44,74.51,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,I3,1.75E-07,M,Sample 2,Sample 2,75,75,22.462,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,J3,1.16E-07,M,Sample 2,Sample 2,50,50,22.412,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,K3,5.82E-08,M,Sample 2,Sample 2,25,25,22.387,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,L3,3.49E-08,M,Sample 2,Sample 2,15,15,22.372,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,M3,1.75E-08,M,Sample 2,Sample 2,7.5,7.5,22.364,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,N3,1.16E-08,M,Sample 2,Sample 2,5,5,22.359,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,O3,5.82E-09,M,Sample 2,Sample 2,2.5,2.5,22.357,99.701,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,A4,2.24E-05,M,Sample 2,Sample 2,150,150,8.62,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,B4,1.12E-05,M,Sample 2,Sample 2,75,75,8.545,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,C4,7.45E-06,M,Sample 2,Sample 2,50,50,8.495,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,D4,3.73E-06,M,Sample 2,Sample 2,25,25,8.47,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,E4,2.24E-06,M,Sample 2,Sample 2,15,15,8.455,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,F4,1.12E-06,M,Sample 2,Sample 2,7.5,7.5,8.447,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,G4,7.45E-07,M,Sample 2,Sample 2,5,5,8.442,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,H4,3.73E-07,M,Sample 2,Sample 2,2.5,2.5,8.44,74.51,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,I4,1.75E-07,M,Sample 2,Sample 2,75,75,22.462,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,J4,1.16E-07,M,Sample 2,Sample 2,50,50,22.412,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,K4,5.82E-08,M,Sample 2,Sample 2,25,25,22.387,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,L4,3.49E-08,M,Sample 2,Sample 2,15,15,22.372,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,M4,1.75E-08,M,Sample 2,Sample 2,7.5,7.5,22.364,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,N4,1.16E-08,M,Sample 2,Sample 2,5,5,22.359,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,O4,5.82E-09,M,Sample 2,Sample 2,2.5,2.5,22.357,99.701,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,A5,2.24E-05,M,Sample 3,Sample 3,150,150,8.62,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,B5,1.12E-05,M,Sample 3,Sample 3,75,75,8.545,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,C5,7.45E-06,M,Sample 3,Sample 3,50,50,8.495,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,D5,3.73E-06,M,Sample 3,Sample 3,25,25,8.47,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,E5,2.24E-06,M,Sample 3,Sample 3,15,15,8.455,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,F5,1.12E-06,M,Sample 3,Sample 3,7.5,7.5,8.447,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,G5,7.45E-07,M,Sample 3,Sample 3,5,5,8.442,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,H5,3.73E-07,M,Sample 3,Sample 3,2.5,2.5,8.44,74.51,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,I5,1.75E-07,M,Sample 3,Sample 3,75,75,22.462,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,J5,1.16E-07,M,Sample 3,Sample 3,50,50,22.412,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,K5,5.82E-08,M,Sample 3,Sample 3,25,25,22.387,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,L5,3.49E-08,M,Sample 3,Sample 3,15,15,22.372,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,M5,1.75E-08,M,Sample 3,Sample 3,7.5,7.5,22.364,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,N5,1.16E-08,M,Sample 3,Sample 3,5,5,22.359,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,O5,5.82E-09,M,Sample 3,Sample 3,2.5,2.5,22.357,99.701,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,A6,2.24E-05,M,Sample 3,Sample 3,150,150,8.62,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,B6,1.12E-05,M,Sample 3,Sample 3,75,75,8.545,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,C6,7.45E-06,M,Sample 3,Sample 3,50,50,8.495,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,D6,3.73E-06,M,Sample 3,Sample 3,25,25,8.47,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,E6,2.24E-06,M,Sample 3,Sample 3,15,15,8.455,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,F6,1.12E-06,M,Sample 3,Sample 3,7.5,7.5,8.447,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,G6,7.45E-07,M,Sample 3,Sample 3,5,5,8.442,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,H6,3.73E-07,M,Sample 3,Sample 3,2.5,2.5,8.44,74.51,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,I6,1.75E-07,M,Sample 3,Sample 3,75,75,22.462,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,J6,1.16E-07,M,Sample 3,Sample 3,50,50,22.412,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,K6,5.82E-08,M,Sample 3,Sample 3,25,25,22.387,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,L6,3.49E-08,M,Sample 3,Sample 3,15,15,22.372,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,M6,1.75E-08,M,Sample 3,Sample 3,7.5,7.5,22.364,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,N6,1.16E-08,M,Sample 3,Sample 3,5,5,22.359,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,O6,5.82E-09,M,Sample 3,Sample 3,2.5,2.5,22.357,99.701,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,A7,2.24E-05,M,Sample 4,Sample 4,150,150,8.62,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,B7,1.12E-05,M,Sample 4,Sample 4,75,75,8.545,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,C7,7.45E-06,M,Sample 4,Sample 4,50,50,8.495,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,D7,3.73E-06,M,Sample 4,Sample 4,25,25,8.47,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,E7,2.24E-06,M,Sample 4,Sample 4,15,15,8.455,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,F7,1.12E-06,M,Sample 4,Sample 4,7.5,7.5,8.447,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,G7,7.45E-07,M,Sample 4,Sample 4,5,5,8.442,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,H7,3.73E-07,M,Sample 4,Sample 4,2.5,2.5,8.44,74.51,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,I7,1.75E-07,M,Sample 4,Sample 4,75,75,22.462,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,J7,1.16E-07,M,Sample 4,Sample 4,50,50,22.412,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,K7,5.82E-08,M,Sample 4,Sample 4,25,25,22.387,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,L7,3.49E-08,M,Sample 4,Sample 4,15,15,22.372,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,M7,1.75E-08,M,Sample 4,Sample 4,7.5,7.5,22.364,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,N7,1.16E-08,M,Sample 4,Sample 4,5,5,22.359,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,O7,5.82E-09,M,Sample 4,Sample 4,2.5,2.5,22.357,99.701,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,A8,2.24E-05,M,Sample 4,Sample 4,150,150,8.62,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,B8,1.12E-05,M,Sample 4,Sample 4,75,75,8.545,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,C8,7.45E-06,M,Sample 4,Sample 4,50,50,8.495,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,D8,3.73E-06,M,Sample 4,Sample 4,25,25,8.47,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,E8,2.24E-06,M,Sample 4,Sample 4,15,15,8.455,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,F8,1.12E-06,M,Sample 4,Sample 4,7.5,7.5,8.447,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,G8,7.45E-07,M,Sample 4,Sample 4,5,5,8.442,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,H8,3.73E-07,M,Sample 4,Sample 4,2.5,2.5,8.44,74.51,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,I8,1.75E-07,M,Sample 4,Sample 4,75,75,22.462,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,J8,1.16E-07,M,Sample 4,Sample 4,50,50,22.412,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,K8,5.82E-08,M,Sample 4,Sample 4,25,25,22.387,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,L8,3.49E-08,M,Sample 4,Sample 4,15,15,22.372,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,M8,1.75E-08,M,Sample 4,Sample 4,7.5,7.5,22.364,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,N8,1.16E-08,M,Sample 4,Sample 4,5,5,22.359,99.701,Percent,DMSO,
Intermediate Sample Plate[1],,384PP_DMSO2,A23,4.69E-05,M,Destination Plate[1],,Proxiplate_384PS,O8,5.82E-09,M,Sample 4,Sample 4,2.5,2.5,22.357,99.701,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,A9,2.24E-05,M,Sample 5,Sample 5,150,150,8.62,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,B9,1.12E-05,M,Sample 5,Sample 5,75,75,8.545,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,C9,7.45E-06,M,Sample 5,Sample 5,50,50,8.495,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,D9,3.73E-06,M,Sample 5,Sample 5,25,25,8.47,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,E9,2.24E-06,M,Sample 5,Sample 5,15,15,8.455,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,F9,1.12E-06,M,Sample 5,Sample 5,7.5,7.5,8.447,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,G9,7.45E-07,M,Sample 5,Sample 5,5,5,8.442,74.51,Percent,DMSO,
Source Plate[1],Barcode,384LDV_DMSO,F5,0.003,M,Destination Plate[1],,Proxiplate_384PS,H9,3.73E-07,M,Sample 5,Sample 5,2.5,2.5,8.44,74.51,Percent,DMSO,
