Raw Data 		Experiment - 160518_NUDT4_K401B_Tm_shift (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-580	
A1	Sample 1	1	2	1	60730	37.5	7.30
A1	Sample 1	1	2	1	62010	37.83	7.31
A1	Sample 1	1	2	1	63270	38.24	7.29
A1	Sample 1	1	2	1	64530	38.56	7.30
A1	Sample 1	1	2	1	65790	38.91	7.32
A1	Sample 1	1	2	1	67070	39.23	7.28
A1	Sample 1	1	2	1	68330	39.58	7.30
A1	Sample 1	1	2	1	69600	39.94	7.31
A1	Sample 1	1	2	1	70870	40.28	7.31
A1	Sample 1	1	2	1	72140	40.59	7.29
A1	Sample 1	1	2	1	73390	40.93	7.29
A1	Sample 1	1	2	1	74660	41.3	7.31
A1	Sample 1	1	2	1	75920	41.65	7.31
A1	Sample 1	1	2	1	77180	41.93	7.35
A1	Sample 1	1	2	1	78460	42.3	7.31
A1	Sample 1	1	2	1	79730	42.64	7.33
A1	Sample 1	1	2	1	80990	42.98	7.32
A1	Sample 1	1	2	1	82250	43.34	7.33
A1	Sample 1	1	2	1	83520	43.7	7.33
A1	Sample 1	1	2	1	84800	44.02	7.34
A1	Sample 1	1	2	1	86060	44.38	7.30
A1	Sample 1	1	2	1	87320	44.73	7.34
A1	Sample 1	1	2	1	88600	45.07	7.30
A1	Sample 1	1	2	1	89850	45.39	7.34
A1	Sample 1	1	2	1	91120	45.74	7.34
A1	Sample 1	1	2	1	92400	46.12	7.37
A1	Sample 1	1	2	1	93650	46.43	7.35
A1	Sample 1	1	2	1	94920	46.74	7.38
A1	Sample 1	1	2	1	96180	47.11	7.38
A1	Sample 1	1	2	1	97460	47.48	7.43
A1	Sample 1	1	2	1	98720	47.78	7.43
A1	Sample 1	1	2	1	100000	48.15	7.43
A1	Sample 1	1	2	1	101260	48.51	7.44
A1	Sample 1	1	2	1	102530	48.84	7.50
A1	Sample 1	1	2	1	103810	49.16	7.52
A1	Sample 1	1	2	1	105080	49.56	7.54
A1	Sample 1	1	2	1	106360	49.88	7.62
A1	Sample 1	1	2	1	107630	50.2	7.64
A1	Sample 1	1	2	1	108900	50.55	7.70
A1	Sample 1	1	2	1	110170	50.9	7.75
A1	Sample 1	1	2	1	111420	51.2	7.84
A1	Sample 1	1	2	1	112680	51.61	7.90
A1	Sample 1	1	2	1	113950	51.92	7.99
A1	Sample 1	1	2	1	115200	52.23	8.06
A1	Sample 1	1	2	1	116470	52.61	8.14
A1	Sample 1	1	2	1	117730	52.94	8.26
A1	Sample 1	1	2	1	119000	53.25	8.37
A1	Sample 1	1	2	1	120250	53.59	8.51
A1	Sample 1	1	2	1	121520	53.99	8.65
A1	Sample 1	1	2	1	122790	54.29	8.81
A1	Sample 1	1	2	1	124060	54.65	8.96
A1	Sample 1	1	2	1	125320	54.99	9.18
A1	Sample 1	1	2	1	126590	55.31	9.34
A1	Sample 1	1	2	1	127850	55.65	9.53
A1	Sample 1	1	2	1	129130	56.03	9.78
A1	Sample 1	1	2	1	130380	56.33	10.01
A1	Sample 1	1	2	1	131640	56.68	10.24
A1	Sample 1	1	2	1	132900	57.03	10.47
A1	Sample 1	1	2	1	134170	57.36	10.72
A1	Sample 1	1	2	1	135440	57.71	11.02
A1	Sample 1	1	2	1	136700	58.09	11.30
A1	Sample 1	1	2	1	137970	58.41	11.57
A1	Sample 1	1	2	1	139230	58.75	11.85
A1	Sample 1	1	2	1	140500	59.09	12.13
A1	Sample 1	1	2	1	141780	59.43	12.38
A1	Sample 1	1	2	1	143040	59.78	12.65
A1	Sample 1	1	2	1	144310	60.12	12.91
A1	Sample 1	1	2	1	145580	60.46	13.16
A1	Sample 1	1	2	1	146840	60.81	13.40
A1	Sample 1	1	2	1	148110	61.15	13.59
A1	Sample 1	1	2	1	149370	61.48	13.78
A1	Sample 1	1	2	1	150640	61.85	13.96
A1	Sample 1	1	2	1	151910	62.17	14.09
A1	Sample 1	1	2	1	153160	62.53	14.20
A1	Sample 1	1	2	1	154430	62.86	14.30
A1	Sample 1	1	2	1	155700	63.19	14.42
A1	Sample 1	1	2	1	156960	63.55	14.48
A1	Sample 1	1	2	1	158240	63.88	14.50
A1	Sample 1	1	2	1	159510	64.2	14.50
A1	Sample 1	1	2	1	160780	64.6	14.49
A1	Sample 1	1	2	1	162050	64.92	14.52
A1	Sample 1	1	2	1	163310	65.26	14.50
A1	Sample 1	1	2	1	164590	65.64	14.47
A1	Sample 1	1	2	1	165840	65.91	14.40
A1	Sample 1	1	2	1	167110	66.29	14.34
A1	Sample 1	1	2	1	168370	66.64	14.20
A1	Sample 1	1	2	1	169650	66.94	14.12
A1	Sample 1	1	2	1	170920	67.35	14.07
A1	Sample 1	1	2	1	172190	67.67	13.97
A1	Sample 1	1	2	1	173440	67.99	13.86
A1	Sample 1	1	2	1	174710	68.35	13.73
A1	Sample 1	1	2	1	175970	68.67	13.62
A1	Sample 1	1	2	1	177240	69.01	13.54
A1	Sample 1	1	2	1	178510	69.37	13.41
A1	Sample 1	1	2	1	179770	69.71	13.26
A1	Sample 1	1	2	1	181020	70.06	13.13
A1	Sample 1	1	2	1	182290	70.4	12.99
A1	Sample 1	1	2	1	183540	70.74	12.89
A1	Sample 1	1	2	1	184820	71.08	12.76
A1	Sample 1	1	2	1	186070	71.4	12.70
A1	Sample 1	1	2	1	187340	71.75	12.55
A1	Sample 1	1	2	1	188620	72.12	12.43
A1	Sample 1	1	2	1	189890	72.43	12.32
A1	Sample 1	1	2	1	191140	72.8	12.20
A1	Sample 1	1	2	1	192410	73.11	12.10
A1	Sample 1	1	2	1	193670	73.48	11.95
A1	Sample 1	1	2	1	194940	73.82	11.86
A1	Sample 1	1	2	1	196200	74.14	11.76
A1	Sample 1	1	2	1	197460	74.51	11.62
A1	Sample 1	1	2	1	198720	74.83	11.55
A1	Sample 1	1	2	1	200000	75.17	11.46
A1	Sample 1	1	2	1	201260	75.56	11.30
A1	Sample 1	1	2	1	202520	75.84	11.20
A1	Sample 1	1	2	1	203790	76.21	11.13
A1	Sample 1	1	2	1	205060	76.54	10.99
A1	Sample 1	1	2	1	206330	76.88	10.86
A1	Sample 1	1	2	1	207620	77.25	10.75
A1	Sample 1	1	2	1	208890	77.57	10.68
A1	Sample 1	1	2	1	210150	77.92	10.59
A1	Sample 1	1	2	1	211420	78.27	10.46
A1	Sample 1	1	2	1	212690	78.58	10.38
A1	Sample 1	1	2	1	213940	78.95	10.28
A1	Sample 1	1	2	1	215220	79.31	10.20
A1	Sample 1	1	2	1	216470	79.65	10.12
A1	Sample 1	1	2	1	217740	79.97	10.02
A1	Sample 1	1	2	1	218990	80.3	9.90
A1	Sample 1	1	2	1	220270	80.67	9.79
A1	Sample 1	1	2	1	221520	80.99	9.71
A1	Sample 1	1	2	1	222780	81.34	9.65
A1	Sample 1	1	2	1	224030	81.69	9.54
A1	Sample 1	1	2	1	225300	82.04	9.49
A1	Sample 1	1	2	1	226570	82.37	9.41
A1	Sample 1	1	2	1	227840	82.73	9.27
A1	Sample 1	1	2	1	229090	83.05	9.19
A1	Sample 1	1	2	1	230370	83.39	9.10
A1	Sample 1	1	2	1	231640	83.74	8.99
A1	Sample 1	1	2	1	232910	84.08	8.94
A1	Sample 1	1	2	1	234170	84.46	8.81
A1	Sample 1	1	2	1	235430	84.74	8.70
A1	Sample 1	1	2	1	236690	85.1	8.61
A1	Sample 1	1	2	1	237940	85.46	8.52
A1	Sample 1	1	2	1	239220	85.76	8.47
A1	Sample 1	1	2	1	240480	86.11	8.30
A1	Sample 1	1	2	1	241760	86.48	8.23
A1	Sample 1	1	2	1	243030	86.81	8.12
A1	Sample 1	1	2	1	244290	87.16	8.02
A1	Sample 1	1	2	1	245550	87.5	7.95
A1	Sample 1	1	2	1	246810	87.83	7.85
A1	Sample 1	1	2	1	248080	88.19	7.75
A1	Sample 1	1	2	1	249340	88.49	7.68
A1	Sample 1	1	2	1	250610	88.88	7.55
A1	Sample 1	1	2	1	251870	89.24	7.44
A1	Sample 1	1	2	1	253130	89.51	7.38
A1	Sample 1	1	2	1	254390	89.89	7.31
A1	Sample 1	1	2	1	255650	90.22	7.21
A1	Sample 1	1	2	1	256900	90.53	7.10
A1	Sample 1	1	2	1	258180	90.93	7.01
A1	Sample 1	1	2	1	259440	91.25	6.95
A1	Sample 1	1	2	1	260710	91.56	6.88
A1	Sample 1	1	2	1	261980	91.96	6.78
A1	Sample 1	1	2	1	263250	92.28	6.70
A1	Sample 1	1	2	1	264520	92.62	6.64
A1	Sample 1	1	2	1	265780	92.96	6.57
A1	Sample 1	1	2	1	267040	93.28	6.49
A1	Sample 1	1	2	1	268300	93.67	6.39
A1	Sample 1	1	2	1	269570	94.03	6.33
A1	Sample 1	1	2	1	270850	94.33	6.27
A1	Sample 1	1	2	1	272100	94.7	6.23
A2	Sample 2	1	2	1	11240	24.17	4.61
A2	Sample 2	1	2	1	12510	24.5	4.59
A2	Sample 2	1	2	1	13780	24.91	4.59
A2	Sample 2	1	2	1	15040	25.24	4.55
A2	Sample 2	1	2	1	16330	25.49	4.58
A2	Sample 2	1	2	1	17610	25.87	4.59
A2	Sample 2	1	2	1	18870	26.21	4.53
A2	Sample 2	1	2	1	20140	26.52	4.56
A2	Sample 2	1	2	1	21420	26.83	4.53
A2	Sample 2	1	2	1	22700	27.21	4.52
A2	Sample 2	1	2	1	23960	27.58	4.52
A2	Sample 2	1	2	1	25230	27.88	4.50
A2	Sample 2	1	2	1	26500	28.3	4.51
A2	Sample 2	1	2	1	27760	28.61	4.49
A2	Sample 2	1	2	1	29030	28.96	4.48
A2	Sample 2	1	2	1	30300	29.3	4.47
A2	Sample 2	1	2	1	31560	29.65	4.47
A2	Sample 2	1	2	1	32820	30	4.45
A2	Sample 2	1	2	1	34100	30.33	4.46
A2	Sample 2	1	2	1	35380	30.72	4.45
A2	Sample 2	1	2	1	36650	31.06	4.47
A2	Sample 2	1	2	1	37910	31.33	4.43
A2	Sample 2	1	2	1	39170	31.77	4.43
A2	Sample 2	1	2	1	40440	32.09	4.42
A2	Sample 2	1	2	1	41700	32.41	4.42
A2	Sample 2	1	2	1	42970	32.78	4.41
A2	Sample 2	1	2	1	44220	33.04	4.39
A2	Sample 2	1	2	1	45500	33.41	4.39
A2	Sample 2	1	2	1	46760	33.82	4.37
A2	Sample 2	1	2	1	48020	34.07	4.38
A2	Sample 2	1	2	1	49300	34.48	4.39
A2	Sample 2	1	2	1	50560	34.82	4.35
A2	Sample 2	1	2	1	51840	35.12	4.39
A2	Sample 2	1	2	1	53100	35.5	4.38
A2	Sample 2	1	2	1	54370	35.8	4.40
A2	Sample 2	1	2	1	55640	36.14	4.39
A2	Sample 2	1	2	1	56920	36.48	4.40
A2	Sample 2	1	2	1	58200	36.86	4.42
A2	Sample 2	1	2	1	59460	37.23	4.40
A2	Sample 2	1	2	1	60730	37.5	4.42
A2	Sample 2	1	2	1	62010	37.83	4.43
A2	Sample 2	1	2	1	63270	38.24	4.43
A2	Sample 2	1	2	1	64530	38.56	4.43
A2	Sample 2	1	2	1	65790	38.91	4.43
A2	Sample 2	1	2	1	67070	39.23	4.46
A2	Sample 2	1	2	1	68330	39.58	4.46
A2	Sample 2	1	2	1	69600	39.94	4.46
A2	Sample 2	1	2	1	70870	40.28	4.46
A2	Sample 2	1	2	1	72140	40.59	4.47
A2	Sample 2	1	2	1	73390	40.93	4.49
A2	Sample 2	1	2	1	74660	41.3	4.49
A2	Sample 2	1	2	1	75920	41.65	4.50
A2	Sample 2	1	2	1	77180	41.93	4.51
A2	Sample 2	1	2	1	78460	42.3	4.50
A2	Sample 2	1	2	1	79730	42.64	4.50
A2	Sample 2	1	2	1	80990	42.98	4.52
A2	Sample 2	1	2	1	82250	43.34	4.54
A2	Sample 2	1	2	1	83520	43.7	4.53
A2	Sample 2	1	2	1	84800	44.02	4.58
A2	Sample 2	1	2	1	86060	44.38	4.58
A2	Sample 2	1	2	1	87320	44.73	4.57
A2	Sample 2	1	2	1	88600	45.07	4.59
A2	Sample 2	1	2	1	89850	45.39	4.61
A2	Sample 2	1	2	1	91120	45.74	4.64
A2	Sample 2	1	2	1	92400	46.12	4.67
A2	Sample 2	1	2	1	93650	46.43	4.67
A2	Sample 2	1	2	1	94920	46.74	4.70
A2	Sample 2	1	2	1	96180	47.11	4.72
A2	Sample 2	1	2	1	97460	47.48	4.78
A2	Sample 2	1	2	1	98720	47.78	4.77
A2	Sample 2	1	2	1	100000	48.15	4.80
A2	Sample 2	1	2	1	101260	48.51	4.85
A2	Sample 2	1	2	1	102530	48.84	4.88
A2	Sample 2	1	2	1	103810	49.16	4.93
A2	Sample 2	1	2	1	105080	49.56	4.96
A2	Sample 2	1	2	1	106360	49.88	5.01
A2	Sample 2	1	2	1	107630	50.2	5.08
A2	Sample 2	1	2	1	108900	50.55	5.14
A2	Sample 2	1	2	1	110170	50.9	5.20
A2	Sample 2	1	2	1	111420	51.2	5.29
A2	Sample 2	1	2	1	112680	51.61	5.35
A2	Sample 2	1	2	1	113950	51.92	5.45
A2	Sample 2	1	2	1	115200	52.23	5.52
A2	Sample 2	1	2	1	116470	52.61	5.62
A2	Sample 2	1	2	1	117730	52.94	5.75
A2	Sample 2	1	2	1	119000	53.25	5.87
A2	Sample 2	1	2	1	120250	53.59	5.99
A2	Sample 2	1	2	1	121520	53.99	6.14
A2	Sample 2	1	2	1	122790	54.29	6.28
A2	Sample 2	1	2	1	124060	54.65	6.43
A2	Sample 2	1	2	1	125320	54.99	6.62
A2	Sample 2	1	2	1	126590	55.31	6.80
A2	Sample 2	1	2	1	127850	55.65	7.03
A2	Sample 2	1	2	1	129130	56.03	7.21
A2	Sample 2	1	2	1	130380	56.33	7.44
A2	Sample 2	1	2	1	131640	56.68	7.67
A2	Sample 2	1	2	1	132900	57.03	7.87
A2	Sample 2	1	2	1	134170	57.36	8.17
A2	Sample 2	1	2	1	135440	57.71	8.37
A2	Sample 2	1	2	1	136700	58.09	8.62
A2	Sample 2	1	2	1	137970	58.41	8.87
A2	Sample 2	1	2	1	139230	58.75	9.13
A2	Sample 2	1	2	1	140500	59.09	9.38
A2	Sample 2	1	2	1	141780	59.43	9.64
A2	Sample 2	1	2	1	143040	59.78	9.89
A2	Sample 2	1	2	1	144310	60.12	10.08
A2	Sample 2	1	2	1	145580	60.46	10.33
A2	Sample 2	1	2	1	146840	60.81	10.51
A2	Sample 2	1	2	1	148110	61.15	10.70
A2	Sample 2	1	2	1	149370	61.48	10.83
A2	Sample 2	1	2	1	150640	61.85	11.02
A2	Sample 2	1	2	1	151910	62.17	11.10
A2	Sample 2	1	2	1	153160	62.53	11.23
A2	Sample 2	1	2	1	154430	62.86	11.30
A2	Sample 2	1	2	1	155700	63.19	11.42
A2	Sample 2	1	2	1	156960	63.55	11.46
A2	Sample 2	1	2	1	158240	63.88	11.49
A2	Sample 2	1	2	1	159510	64.2	11.53
A2	Sample 2	1	2	1	160780	64.6	11.53
A2	Sample 2	1	2	1	162050	64.92	11.52
A2	Sample 2	1	2	1	163310	65.26	11.53
A2	Sample 2	1	2	1	164590	65.64	11.53
A2	Sample 2	1	2	1	165840	65.91	11.50
A2	Sample 2	1	2	1	167110	66.29	11.42
A2	Sample 2	1	2	1	168370	66.64	11.36
A2	Sample 2	1	2	1	169650	66.94	11.31
A2	Sample 2	1	2	1	170920	67.35	11.22
A2	Sample 2	1	2	1	172190	67.67	11.14
A2	Sample 2	1	2	1	173440	67.99	11.03
A2	Sample 2	1	2	1	174710	68.35	10.96
A2	Sample 2	1	2	1	175970	68.67	10.84
A2	Sample 2	1	2	1	177240	69.01	10.75
A2	Sample 2	1	2	1	178510	69.37	10.65
A2	Sample 2	1	2	1	179770	69.71	10.52
A2	Sample 2	1	2	1	181020	70.06	10.41
A2	Sample 2	1	2	1	182290	70.4	10.33
A2	Sample 2	1	2	1	183540	70.74	10.23
A2	Sample 2	1	2	1	184820	71.08	10.15
A2	Sample 2	1	2	1	186070	71.4	10.03
A2	Sample 2	1	2	1	187340	71.75	9.95
A2	Sample 2	1	2	1	188620	72.12	9.86
A2	Sample 2	1	2	1	189890	72.43	9.72
A2	Sample 2	1	2	1	191140	72.8	9.64
A2	Sample 2	1	2	1	192410	73.11	9.57
A2	Sample 2	1	2	1	193670	73.48	9.47
A2	Sample 2	1	2	1	194940	73.82	9.36
A2	Sample 2	1	2	1	196200	74.14	9.25
A2	Sample 2	1	2	1	197460	74.51	9.18
A2	Sample 2	1	2	1	198720	74.83	9.09
A2	Sample 2	1	2	1	200000	75.17	8.98
A2	Sample 2	1	2	1	201260	75.56	8.91
A2	Sample 2	1	2	1	202520	75.84	8.83
A2	Sample 2	1	2	1	203790	76.21	8.73
A2	Sample 2	1	2	1	205060	76.54	8.62
A2	Sample 2	1	2	1	206330	76.88	8.53
A2	Sample 2	1	2	1	207620	77.25	8.45
A2	Sample 2	1	2	1	208890	77.57	8.40
A2	Sample 2	1	2	1	210150	77.92	8.30
A2	Sample 2	1	2	1	211420	78.27	8.18
A2	Sample 2	1	2	1	212690	78.58	8.12
A2	Sample 2	1	2	1	213940	78.95	8.04
A2	Sample 2	1	2	1	215220	79.31	7.95
A2	Sample 2	1	2	1	216470	79.65	7.86
A2	Sample 2	1	2	1	217740	79.97	7.80
A2	Sample 2	1	2	1	218990	80.3	7.69
A2	Sample 2	1	2	1	220270	80.67	7.62
A2	Sample 2	1	2	1	221520	80.99	7.56
A2	Sample 2	1	2	1	222780	81.34	7.46
A2	Sample 2	1	2	1	224030	81.69	7.42
A2	Sample 2	1	2	1	225300	82.04	7.33
A2	Sample 2	1	2	1	226570	82.37	7.25
A2	Sample 2	1	2	1	227840	82.73	7.18
A2	Sample 2	1	2	1	229090	83.05	7.08
A2	Sample 2	1	2	1	230370	83.39	7.04
A2	Sample 2	1	2	1	231640	83.74	6.94
A2	Sample 2	1	2	1	232910	84.08	6.84
A2	Sample 2	1	2	1	234170	84.46	6.78
A2	Sample 2	1	2	1	235430	84.74	6.70
A2	Sample 2	1	2	1	236690	85.1	6.62
A2	Sample 2	1	2	1	237940	85.46	6.53
A2	Sample 2	1	2	1	239220	85.76	6.44
A2	Sample 2	1	2	1	240480	86.11	6.39
A2	Sample 2	1	2	1	241760	86.48	6.30
A2	Sample 2	1	2	1	243030	86.81	6.24
A2	Sample 2	1	2	1	244290	87.16	6.15
A2	Sample 2	1	2	1	245550	87.5	6.08
A2	Sample 2	1	2	1	246810	87.83	6.01
A2	Sample 2	1	2	1	248080	88.19	5.92
A2	Sample 2	1	2	1	249340	88.49	5.87
A2	Sample 2	1	2	1	250610	88.88	5.81
A2	Sample 2	1	2	1	251870	89.24	5.70
A2	Sample 2	1	2	1	253130	89.51	5.68
A2	Sample 2	1	2	1	254390	89.89	5.57
A2	Sample 2	1	2	1	255650	90.22	5.52
A2	Sample 2	1	2	1	256900	90.53	5.45
A2	Sample 2	1	2	1	258180	90.93	5.37
A2	Sample 2	1	2	1	259440	91.25	5.29
A2	Sample 2	1	2	1	260710	91.56	5.26
A2	Sample 2	1	2	1	261980	91.96	5.22
A2	Sample 2	1	2	1	263250	92.28	5.13
A2	Sample 2	1	2	1	264520	92.62	5.09
A2	Sample 2	1	2	1	265780	92.96	5.00
A2	Sample 2	1	2	1	267040	93.28	4.96
A2	Sample 2	1	2	1	268300	93.67	4.88
A2	Sample 2	1	2	1	269570	94.03	4.85
A2	Sample 2	1	2	1	270850	94.33	4.78
A2	Sample 2	1	2	1	272100	94.7	4.75
A3	Sample 3	1	2	1	11240	24.17	6.72
A3	Sample 3	1	2	1	12510	24.5	6.75
A3	Sample 3	1	2	1	13780	24.91	6.78
A3	Sample 3	1	2	1	15040	25.24	6.77
A3	Sample 3	1	2	1	16330	25.49	6.77
A3	Sample 3	1	2	1	17610	25.87	6.77
A3	Sample 3	1	2	1	18870	26.21	6.76
A3	Sample 3	1	2	1	20140	26.52	6.78
A3	Sample 3	1	2	1	21420	26.83	6.77
A3	Sample 3	1	2	1	22700	27.21	6.73
A3	Sample 3	1	2	1	23960	27.58	6.75
A3	Sample 3	1	2	1	25230	27.88	6.72
A3	Sample 3	1	2	1	26500	28.3	6.73
A3	Sample 3	1	2	1	27760	28.61	6.71
A3	Sample 3	1	2	1	29030	28.96	6.72
A3	Sample 3	1	2	1	30300	29.3	6.70
A3	Sample 3	1	2	1	31560	29.65	6.68
A3	Sample 3	1	2	1	32820	30	6.70
A3	Sample 3	1	2	1	34100	30.33	6.68
A3	Sample 3	1	2	1	35380	30.72	6.67
A3	Sample 3	1	2	1	36650	31.06	6.67
A3	Sample 3	1	2	1	37910	31.33	6.66
A3	Sample 3	1	2	1	39170	31.77	6.67
A3	Sample 3	1	2	1	40440	32.09	6.67
A3	Sample 3	1	2	1	41700	32.41	6.65
A3	Sample 3	1	2	1	42970	32.78	6.65
A3	Sample 3	1	2	1	44220	33.04	6.66
A3	Sample 3	1	2	1	45500	33.41	6.67
A3	Sample 3	1	2	1	46760	33.82	6.63
A3	Sample 3	1	2	1	48020	34.07	6.66
A3	Sample 3	1	2	1	49300	34.48	6.66
A3	Sample 3	1	2	1	50560	34.82	6.71
A3	Sample 3	1	2	1	51840	35.12	6.69
A3	Sample 3	1	2	1	53100	35.5	6.73
A3	Sample 3	1	2	1	54370	35.8	6.75
A3	Sample 3	1	2	1	55640	36.14	6.74
A3	Sample 3	1	2	1	56920	36.48	6.72
A3	Sample 3	1	2	1	58200	36.86	6.75
A3	Sample 3	1	2	1	59460	37.23	6.74
A3	Sample 3	1	2	1	60730	37.5	6.74
A3	Sample 3	1	2	1	62010	37.83	6.74
A3	Sample 3	1	2	1	63270	38.24	6.72
A3	Sample 3	1	2	1	64530	38.56	6.76
A3	Sample 3	1	2	1	65790	38.91	6.70
A3	Sample 3	1	2	1	67070	39.23	6.74
A3	Sample 3	1	2	1	68330	39.58	6.73
A3	Sample 3	1	2	1	69600	39.94	6.70
A3	Sample 3	1	2	1	70870	40.28	6.75
A3	Sample 3	1	2	1	72140	40.59	6.70
A3	Sample 3	1	2	1	73390	40.93	6.70
A3	Sample 3	1	2	1	74660	41.3	6.67
A3	Sample 3	1	2	1	75920	41.65	6.71
A3	Sample 3	1	2	1	77180	41.93	6.71
A3	Sample 3	1	2	1	78460	42.3	6.69
A3	Sample 3	1	2	1	79730	42.64	6.68
A3	Sample 3	1	2	1	80990	42.98	6.68
A3	Sample 3	1	2	1	82250	43.34	6.68
A3	Sample 3	1	2	1	83520	43.7	6.68
A3	Sample 3	1	2	1	84800	44.02	6.71
A3	Sample 3	1	2	1	86060	44.38	6.65
A3	Sample 3	1	2	1	87320	44.73	6.68
A3	Sample 3	1	2	1	88600	45.07	6.71
A3	Sample 3	1	2	1	89850	45.39	6.69
A3	Sample 3	1	2	1	91120	45.74	6.69
A3	Sample 3	1	2	1	92400	46.12	6.68
A3	Sample 3	1	2	1	93650	46.43	6.71
A3	Sample 3	1	2	1	94920	46.74	6.72
A3	Sample 3	1	2	1	96180	47.11	6.77
A3	Sample 3	1	2	1	97460	47.48	6.77
A3	Sample 3	1	2	1	98720	47.78	6.78
A3	Sample 3	1	2	1	100000	48.15	6.78
A3	Sample 3	1	2	1	101260	48.51	6.81
A3	Sample 3	1	2	1	102530	48.84	6.84
A3	Sample 3	1	2	1	103810	49.16	6.88
A3	Sample 3	1	2	1	105080	49.56	6.96
A3	Sample 3	1	2	1	106360	49.88	6.95
A3	Sample 3	1	2	1	107630	50.2	6.97
A3	Sample 3	1	2	1	108900	50.55	7.06
A3	Sample 3	1	2	1	110170	50.9	7.12
A3	Sample 3	1	2	1	111420	51.2	7.18
A3	Sample 3	1	2	1	112680	51.61	7.28
A3	Sample 3	1	2	1	113950	51.92	7.34
A3	Sample 3	1	2	1	115200	52.23	7.47
A3	Sample 3	1	2	1	116470	52.61	7.58
A3	Sample 3	1	2	1	117730	52.94	7.70
A3	Sample 3	1	2	1	119000	53.25	7.82
A3	Sample 3	1	2	1	120250	53.59	8.02
A3	Sample 3	1	2	1	121520	53.99	8.15
A3	Sample 3	1	2	1	122790	54.29	8.32
A3	Sample 3	1	2	1	124060	54.65	8.55
A3	Sample 3	1	2	1	125320	54.99	8.70
A3	Sample 3	1	2	1	126590	55.31	8.93
A3	Sample 3	1	2	1	127850	55.65	9.19
A3	Sample 3	1	2	1	129130	56.03	9.41
A3	Sample 3	1	2	1	130380	56.33	9.70
A3	Sample 3	1	2	1	131640	56.68	9.94
A3	Sample 3	1	2	1	132900	57.03	10.26
A3	Sample 3	1	2	1	134170	57.36	10.52
A3	Sample 3	1	2	1	135440	57.71	10.82
A3	Sample 3	1	2	1	136700	58.09	11.13
A3	Sample 3	1	2	1	137970	58.41	11.43
A3	Sample 3	1	2	1	139230	58.75	11.71
A3	Sample 3	1	2	1	140500	59.09	12.07
A3	Sample 3	1	2	1	141780	59.43	12.30
A3	Sample 3	1	2	1	143040	59.78	12.63
A3	Sample 3	1	2	1	144310	60.12	12.87
A3	Sample 3	1	2	1	145580	60.46	13.15
A3	Sample 3	1	2	1	146840	60.81	13.37
A3	Sample 3	1	2	1	148110	61.15	13.56
A3	Sample 3	1	2	1	149370	61.48	13.77
A3	Sample 3	1	2	1	150640	61.85	13.93
A3	Sample 3	1	2	1	151910	62.17	14.04
A3	Sample 3	1	2	1	153160	62.53	14.22
A3	Sample 3	1	2	1	154430	62.86	14.27
A3	Sample 3	1	2	1	155700	63.19	14.41
A3	Sample 3	1	2	1	156960	63.55	14.44
A3	Sample 3	1	2	1	158240	63.88	14.46
